params n:2000
52.7586 622.3650
89.4089 613.2890
124.4830 595.4170
159.9510 568.7340
189.9010 542.0920
219.8520 506.6430
254.9260 462.3490
287.2410 412.2040
params n:2100
55.5172 686.9320
104.7780 668.9560
140.2460 648.1450
174.9260 621.4680
219.8520 574.1660
264.7780 515.1210
301.4290 456.1360
params n:2200
58.2759 754.4950
98.8670 742.7520
144.5810 713.3940
175.3200 689.9080
204.8770 660.5500
249.4090 604.7710
279.7540 563.6700
315.6160 504.9540
params n:2300
61.0345 824.8730
104.7780 809.8730
139.8520 789.0650
175.3200 759.4470
229.7040 700.3320
265.1720 653.1000
294.7290 611.7820
329.8030 546.9370
params n:2400
63.7931 898.2470
89.4089 889.2520
124.8770 874.3130
160.3450 850.5660
204.8770 809.1390
249.0150 753.0350
286.8470 696.9770
344.7780 596.7360
params n:2500
66.1576 974.5600
104.7780 962.5340
144.5810 938.7550
174.5320 915.0490
210.0000 879.5600
244.6800 838.2040
279.7540 788.0390
314.8280 729.0650
358.9660 646.5400
params n:2600
68.9163 1053.8100
109.5070 1041.7700
144.9750 1020.9500
189.9010 982.4590
229.7040 938.1310
279.7540 867.3050
318.7680 805.3670
347.9310 752.3090
373.5470 699.2770
params n:2700
71.2808 1138.9300
104.7780 1124.0000
139.8520 1103.1900
174.9260 1079.4500
219.8520 1032.1500
259.6550 981.9470
294.7290 931.7820
324.6800 881.6540
354.6310 822.7180
387.7340 754.9520
params n:2800
74.0394 1224.0400
104.7780 1212.0800
139.4580 1194.2100
174.9260 1167.5200
214.7290 1126.1300
259.6550 1070.0200
294.7290 1016.9200
329.8030 957.9460
360.1480 899.0080
401.9210 810.6280
params n:2819
74.8276 1238.7200
109.5070 1226.7200
144.9750 1205.9100
174.9260 1182.2000
204.8770 1152.6200
234.8280 1120.1100
269.9010 1072.8800
309.7040 1010.9400
339.6550 960.8100
370.0000 898.9360
404.6800 825.2870
params n:2900
76.7980 1312.1000
109.5070 1300.1100
139.8520 1282.2800
174.9260 1255.6000
199.7540 1234.8600
230.0990 1202.3500
260.0490 1161.0300
290.0000 1116.7700
324.6800 1057.8000
360.1480 992.9530
390.0990 931.0820
416.8970 872.1700
