params n:2000
52.7532 371.1190
84.6116 399.2780
129.8430 442.5990
169.5670 479.4220
214.7980 518.412
254.9160 546.5700
287.1680 561.7330
params n:2100
55.1131 410.1080
84.6116 440.4330
134.5620 492.4190
169.5670 529.2420
214.7980 572.5630
254.9160 605.0540
289.9210 628.8810
301.7210 631.0470
params n:2200
57.8663 449.0970
104.6710 501.0830
169.1740 574.7290
214.7980 626.7150
254.9160 663.5380
295.4280 693.8630
315.4870 702.5270
params n:2300
60.6195 488.0870
103.8840 540.0720
144.7890 589.8920
184.9070 639.7110
219.5180 683.0320
250.1970 717.6900
289.9210 752.3470
330.4330 778.339
params n:2400
63.3727 524.9100
104.6710 576.8950
144.7890 633.2130
189.6260 696.0290
234.4640 752.3470
279.6950 804.3320
305.2610 828.1590
344.5920 856.3180
params n:2500
66.1259 561.7330
104.6710 613.7180
144.3950 674.3680
189.6260 741.5160
239.9710 812.9960
280.0880 864.9820
309.5870 895.3070
334.7590 919.1340
359.5380 934.2960
params n:2600
68.4857 594.2240
134.5620 696.0290
189.6260 784.8380
229.7440 849.8190
264.7490 899.6390
299.7540 947.2920
329.6460 979.7830
350.0980 997.1120
372.9110 1016.6100
params n:2700
71.2389 626.7150
134.5620 730.6860
189.6260 830.3250
229.7440 897.4730
279.6950 977.6170
309.5870 1020.9400
350.0980 1066.4300
387.8560 1096.7500
params n:2800
73.9921 657.0400
123.5500 741.5160
171.1410 832.4910
213.6180 912.6350
252.5570 981.9490
289.9210 1046.9300
324.9260 1098.9200
359.9310 1146.5700
384.7100 1170.4000
402.4090 1183.3900
params n:2819
74.7788 663.5380
134.5620 774.0070
169.5670 838.9890
224.6310 942.9600
265.9290 1018.7700
299.7540 1072.9200
334.7590 1127.0800
369.7640 1168.2300
405.1620 1200.7200
params n:2900
76.7453 685.1990
144.7890 817.3290
189.6260 908.3030
240.3640 1007.9400
280.0880 1083.7500
334.7590 1174.7300
384.7100 1241.8800
416.1750 1272.2000
