params p:0.05
0.0000 0.0000
19.5918 307.1784
39.4897 636.3583
59.6938 998.5489
79.5918 1344.2426
99.7959 1640.3782
119.6938 1920.0168
129.7959 2068.0846
139.5918 2166.6279
149.6938 2232.1269
159.7959 2281.1121
169.8979 2313.5835
174.7959 2313.3139
179.6938 2296.5306
184.8979 2263.2166
189.7959 2229.9194
194.6938 2180.1085
199.8979 2113.7670
204.7959 2063.9561
210.0000 1997.6146
214.8979 1914.7762
219.7959 1848.4516
224.6938 1749.0994
229.8979 1633.2166
234.7959 1517.3506
240.0000 1384.9541
259.8979 822.3909
params p:0.09
0.0000 0.0000
19.5918 142.0408
39.4897 289.5693
59.6938 437.0810
79.5918 584.6096
99.7959 732.1213
119.6938 846.6223
139.8979 944.5927
159.7959 1009.5525
179.6938 958.9159
199.8979 825.6936
219.7959 709.0020
240.0000 509.7247
259.8979 326.9780
279.7959 127.7176
params p:0.1275
0.0000 0.0000
19.5918 0.0000
39.4897 0.0000
59.6938 0.0000
79.5918 0.0000
99.7959 0.0000
119.6938 0.0000
139.8979 0.0000
159.7959 0.0000
179.6938 0.0000
199.8979 0.0000
219.7959 0.0000
240.0000 0.0000
259.8979 0.0000
279.7959 0.0000
params p:0.17
0.0000 0.0000
14.6938 -187.9648
35.8163 -403.8064
59.6938 -685.8547
79.5918 -934.6564
99.7959 -1166.9612
119.6938 -1349.7079
139.5918 -1515.9408
149.6938 -1582.5519
159.7959 -1583.1080
179.6938 -1584.2033
199.8979 -1585.3154
219.7959 -1586.4107
240.0000 -1587.5229
259.8979 -1588.6182
279.7959 -1589.7135
params p:0.21
0.0000 0.0000
16.2244 -369.7004
39.1836 -849.8633
59.6938 -1296.8638
79.5918 -1727.3169
99.7959 -2157.7869
119.6938 -2538.6987
139.5918 -2853.5555
149.6938 -2986.2216
159.7959 -3069.3465
169.8979 -3102.9301
179.6938 -3103.4693
199.8979 -3104.5815
219.7959 -3105.6768
240.0000 -3106.7889
259.8979 -3107.8842
279.7959 -3108.9795
params p:0.25
0.0000 0.0000
19.5918 -766.2160
39.4897 -1526.9443
59.6938 -2287.6895
79.8979 -3064.9485
99.7959 -3809.1630
119.6938 -4487.3225
139.5918 -5049.8857
149.6938 -5281.6345
159.7959 -5463.8419
164.6938 -5497.1391
169.8979 -5530.4530
174.7959 -5547.2364
179.6938 -5564.0198
199.8979 -5565.1319
219.7959 -5566.2272
240.0000 -5567.3394
259.8979 -5568.4347
279.7959 -5569.5300
