params p:6.51
0.0000 0.0000
19.9071 3.2125
39.8143 6.6721
59.7215 10.2965
80.2320 13.9209
100.1392 17.7100
120.0464 21.3344
139.9535 24.9588
159.8607 28.5831
179.7679 32.0428
220.1856 38.4678
240.0928 41.2685
250.3480 42.4217
params p:7.51
0.0000 0.0000
39.8143 0.0000
59.7215 0.0000
80.2320 0.0000
100.1392 0.0000
120.0464 0.0000
139.9535 0.0000
159.8607 0.0000
179.7679 0.0000
199.6751 0.0000
220.1856 0.0000
240.0928 0.0000
249.7447 0.0000
params p:8.51
0.0000 0.0000
39.8143 -6.6721
59.7215 -10.2965
80.2320 -14.0856
100.1392 -17.7100
120.0464 -21.3344
139.9535 -24.9588
159.8607 -28.5831
179.7679 -32.2075
199.6751 -35.3377
220.1856 -38.4678
240.0928 -41.2685
249.7447 -42.4217
