params p:220
0.0000 0.0000
4.8723 11.8432
9.8839 23.1957
14.8955 35.0401
19.9071 46.3926
24.9187 58.2370
29.9303 70.0813
35.0812 81.9268
39.9535 93.2783
44.9651 105.1226
49.9767 116.9670
55.9628 130.7865
params p:215
0.0000 0.0000
4.8723 5.9415
9.8839 11.8842
14.8955 17.8270
19.9071 23.7697
24.9187 29.2206
30.0696 35.1645
35.2204 41.1083
40.0928 47.0499
44.9651 52.9915
49.9767 58.4424
55.9628 65.3767
params p:210
0.0000 0.0000
4.8723 0.0000
9.8839 0.0000
14.8955 0.0000
19.9071 0.0000
24.9187 0.0000
29.9303 0.0000
35.0812 0.0000
39.9535 0.0000
44.9651 0.0000
49.9767 0.0000
55.9628 0.0000
params p:205
0.0000 0.0000
9.8839 -11.2304
14.8955 -17.0910
19.9071 -22.9515
25.0580 -28.8109
30.0696 -34.6715
35.0812 -40.5321
40.0928 -46.3926
44.9651 -51.7625
49.9767 -57.6231
55.9628 -64.4593
params p:200
0.0000 0.0000
4.8723 -11.2715
10.0232 -23.0325
14.8955 -34.3041
19.9071 -46.0663
24.9187 -57.8285
29.9303 -69.5907
35.0812 -81.3517
40.0928 -93.1139
44.9651 -104.3855
49.9767 -115.6559
55.9628 -129.3773
