params p:525
0.0000 0.0000
20.2288 154.0983
39.8627 309.0163
60.0915 463.9344
79.7254 618.8524
99.9542 773.7704
120.1830 921.3114
140.4118 1076.2295
160.0457 1231.1475
180.2745 1393.4426
199.9084 1555.7377
220.1372 1718.0327
240.3661 1887.7049
250.4805 1968.8524
params p:520
0.0000 0.0000
20.2288 109.8360
39.8627 227.8688
60.0915 345.9016
79.7254 463.9344
99.9542 589.3442
120.1830 707.3770
140.4118 832.7868
160.0457 950.8196
180.2745 1083.6065
199.9084 1209.0163
220.1372 1334.4262
240.3661 1467.2131
250.4805 1526.2295
params p:515
0.0000 0.0000
20.2288 80.3278
39.8627 154.0983
60.0915 235.2459
80.3203 309.0163
100.5491 390.1639
120.1830 471.3114
140.4118 552.4590
160.0457 633.6065
180.2745 722.1311
200.5034 810.6557
220.1372 891.8032
240.3661 987.7049
250.4805 1031.9672
params p:510
0.0000 0.0000
20.2288 36.0655
39.8627 72.9508
60.0915 109.8360
80.3203 154.0983
100.5491 198.3606
120.1830 235.2459
140.4118 279.5081
160.0457 323.7704
180.2745 368.0327
199.9084 412.2950
220.1372 456.5573
240.3661 508.1967
251.0755 530.3278
params p:502.2
0.0000 0.0000
20.2288 0.0000
39.8627 0.0000
60.0915 0.0000
79.7254 0.0000
99.9542 0.0000
120.1830 0.0000
140.4118 0.0000
160.0457 0.0000
180.2745 0.0000
199.9084 0.0000
220.1372 0.0000
240.3661 0.0000
250.4805 0.0000
params p:500
0.0000 0.0000
20.2288 -45.0819
100.5491 -192.6229
120.1830 -214.7540
140.4118 -244.2622
160.0457 -266.3934
180.2745 -288.5245
199.9084 -310.6557
220.1372 -332.7868
240.3661 -354.9180
250.4805 -377.0491
params p:495
0.0000 0.0000
60.0915 -236.8852
79.7254 -310.6557
99.9542 -384.4262
120.1830 -450.8196
140.4118 -517.2131
160.0457 -583.6065
180.2745 -650.0000
199.9084 -716.3934
220.1372 -782.7868
240.3661 -849.1803
250.4805 -886.0655
params p:490
0.0000 0.0000
39.8627 -244.2622
60.0915 -362.2950
80.3203 -480.3278
99.9542 -590.9836
120.1830 -709.0163
140.4118 -819.6721
160.0457 -922.9508
180.2745 -1026.2295
199.9084 -1114.7540
220.1372 -1218.0327
240.3661 -1313.9344
249.8855 -1358.1967
